"","x"
"1","Q80X85"
"2","Q5NCR9"
"3","Q8K3A9"
"4","Q8C4J7"
"5","P52480"
"6","Q9WTX2"
"7","Q6PGF5"
"8","Q8R3F9"
"9","Q6A0D4"
"10","Q9CZN7"
"11","Q8CGC7"
"12","Q9JIK5"
"13","Q8VCY6"
"14","Q7TT37"
"15","P97770"
"16","Q99J95"
"17","Q9CRB2"
"18","Q8BUV6"
"19","Q9D0I9"
"20","Q9Z1Z2"
"21","Q0VBL3"
"22","Q3U5F4"
"23","P63038"
"24","Q8K2D3"
"25","O08583"
"26","Q8BHB4"
"27","P97351"
"28","P11499"
"29","O54825"
"30","Q3TC46"
"31","Q8BP74"
"32","Q8R3N1"
"33","P63325"
"34","Q9QZH3"
"35","Q6NZF1"
"36","Q6PB66"
"37","Q9CX86"
"38","Q8R409"
"39","Q8BU30"
"40","Q9D3U0"
"41","Q921M3"
"42","Q8K1C0"
"43","Q91WM3"
"44","P84104"
"45","P14869"
"46","Q8CGK3"
"47","Q9Z2E1"
"48","P27641"
"49","P26041"
"50","F8VPP8"
"51","Q9JKB3"
"52","Q8K224"
"53","Q924C1"
"54","Q9DAW6"
"55","P58252"
"56","Q8VI93"
"57","Q9WUK2"
"58","Q8BZR9"
"59","P27659"
"60","Q99KG3"
"61","P56960"
"62","Q8BJ34"
"63","Q8CJG0"
"64","Q921I9"
"65","G3X9B1"
"66","A2AJ71"
"67","B1AZI6"
"68","Q6PHZ5"
"69","Q9CPN8"
"70","P09405"
"71","P23116"
"72","Q9JLI8"
"73","Q99PV0"
"74","Q9JJL8"
"75","Q8BVY0"
"76","Q9D0R4"
"77","P07901"
"78","Q8BGQ7"
"79","Q61584"
"80","Q9ER72"
"81","Q8BTV2"
"82","Q99LI7"
"83","P70372"
"84","Q8BYK6"
"85","Q8BP67"
"86","P60335"
"87","O35286"
"88","Q8C0C7"
"89","Q99JY0"
"90","Q5DTM8"
"91","Q80U78"
"92","Q7TNC4"
"93","Q8VHK9"
"94","Q3UYV9"
"95","Q91VR5"
"96","Q9CW46"
"97","Q91YT7"
"98","Q9D8E6"
"99","Q8VEK3"
"100","Q80VY9"
"101","Q921Y2"
"102","P54823"
"103","P62918"
"104","Q14C51"
"105","Q05CL8"
"106","Q5SWD9"
"107","Q9CR86"
"108","Q91YD3"
"109","Q9DD18"
"110","Q9EQM6"
"111","P60843"
"112","Q8BHS3"
"113","Q8CI75"
"114","Q5SUF2"
"115","Q8BJW6"
"116","Q8CCP0"
"117","P47911"
"118","Q99MU3"
"119","O88796"
"120","Q9CR08"
"121","Q3U1C4"
"122","Q921F4"
"123","P80316"
"124","Q9CXY6"
"125","Q9D0T1"
"126","Q62093"
"127","Q14CH7"
"128","P23949"
"129","P62702"
"130","O55201"
"131","B2RWS6"
"132","Q60749"
"133","P14211"
"134","Q99L45"
"135","P62908"
"136","Q8K1J6"
"137","Q9CQ49"
"138","P97855"
"139","P07607"
"140","Q9CY73"
"141","P20152"
"142","P62830"
"143","E9PWW6"
"144","Q99M28"
"145","Q9ESX5"
"146","P58064"
"147","Q8C7E9"
"148","P62754"
"149","Q8CI11"
"150","P62855"
"151","Q9Z2X1"
"152","Q8BVQ5"
"153","Q91YE7"
"154","Q62351"
"155","O70194"
"156","Q6DID3"
"157","Q91WM1"
"158","Q6A0A2"
"159","F8VQC1"
"160","O88532"
"161","Q8BIJ6"
"162","Q3UFY8"
"163","Q62167"
"164","Q99J10"
"165","P60824"
"166","P32067"
"167","Q99J87"
"168","P70122"
"169","Q9CWV6"
"170","P14576"
"171","Q9CQF0"
"172","Q8K0Z7"
"173","O55187"
"174","P62751"
"175","Q62348"
"176","Q9CQT2"
"177","Q9DC48"
"178","Q8BGD9"
"179","Q6P5B5"
"180","Q8BTI8"
"181","O88569"
"182","Q8K3W3"
"183","P97379"
"184","P61406"
"185","Q9Z0H4"
"186","Q3UHX9"
"187","Q6NZL1"
"188","Q8CCF0"
"189","P62082"
"190","P35979"
"191","Q03963"
"192","O35130"
"193","B2RR83"
"194","Q9CQL5"
"195","P47962"
"196","Q8BQ46"
"197","Q921F2"
"198","P29341"
"199","Q3TWW8"
"200","Q8BK72"
"201","Q5HZJ0"
"202","G3X9Z4"
"203","Q9QYS9"
"204","B2RY56"
"205","Q9D0E1"
"206","Q8BWY3"
"207","P23950"
"208","Q80YD1"
"209","Q6ZPY2"
"210","P62320"
"211","Q99JX7"
"212","Q99N93"
"213","Q9DCA5"
"214","Q9Z1N5"
"215","Q5RJH6"
"216","Q922E6"
"217","Q6A037"
"218","Q9Z204"
"219","P62311"
"220","Q80U70"
"221","Q8R205"
"222","Q920Q6"
"223","G5E924"
"224","P53996"
"225","Q62376"
"226","O35295"
"227","P57784"
"228","Q9DAT5"
"229","Q9CZU4"
"230","Q8K1R3"
"231","Q3TQI7"
"232","Q8VDJ3"
"233","P28271"
"234","Q3ULL6"
"235","Q6ZWN5"
"236","Q9Z0N1"
"237","Q9QWV9"
"238","O35710"
"239","Q62189"
"240","Q9CQI7"
"241","Q9D1P0"
"242","Q3UZ01"
"243","Q9CYH6"
"244","Q60668"
"245","Q8BMA6"
"246","B1ARD6"
"247","Q8C2Q3"
"248","Q9JKX6"
"249","E9Q5K9"
"250","P62264"
"251","Q8VC51"
"252","Q6Q899"
"253","Q99KR3"
"254","Q9DBB5"
"255","P97313"
"256","Q9EST3"
"257","P00375"
"258","Q80U38"
"259","Q9D7B1"
"260","P42227"
"261","Q8BL48"
"262","Q8BG81"
"263","P68372"
"264","Q8BJ05"
"265","H3BJW3"
"266","Q3U319"
"267","P16254"
"268","Q80VC6"
"269","Q8BYL4"
"270","Q8R2L5"
"271","Q8BIZ6"
"272","Q9D883"
"273","Q9D2E2"
"274","Q8VHZ7"
"275","P62889"
"276","P25444"
"277","Q9CY58"
"278","Q9DAR7"
"279","P14148"
"280","Q3TVI4"
"281","Q6ZWV7"
"282","Q9CZ57"
"283","Q7TQC5"
"284","Q9CQJ6"
"285","Q8C0D0"
"286","Q9CXW4"
"287","P59708"
"288","P62827"
"289","P07901"
